09fa8	setlr
308d0   setlr_pc
1a6e4   setlr,er0 = 0,r2 = f3
0a05c	DI,RT
23f9e	calc_checksum_set_f004
23fa6	calc_checksum_no_set_f004
23fad	calc_checksum_0
23fc0	calc_checksum_1
23fd4	calc_checksum_2
23fea	calc_checksum_3
23f21	pr_checksum
09ca0	[er8]+=er2,pop xr8
2702e	sp = er14,pop er14,rt
12da6	sp = er14,pop qr8
23f82	sp = er14,pop qr8,pop qr0
20d60	sp = er14,pop er14
21f74	sp = er6,pop er8
09820	sp = er14,pop xr12
13aac	sp = er14,pop qr8,pop er6
0ac34	er14 = sp,rt
12daa	nop
13b66	er0+=er0,er0+=er2,er8=[er0]
13b9a	er0+=er0,er2+=er0,er0=[er2]

# Some POP gadgets:
1ec0c	pop ea
27030	pop er14,rt
13332	pop er0,rt
18974	pop er2
250a6	pop er4
0a8a6	pop er8
16eca	pop er12,rt
17bda	pop qr0
12da8	pop qr8
177da	pop r0
1844a	pop r8
09e68	pop xr0
1d040	pop xr4
183a6	pop xr8
0d516	pop er10
0d04c	pop r12
12602	pop er0
21636	pop er12
15c78	pop er14
13ab0	pop er6
1dcf6	pop er6,rt
20730	pop xr12
16d88	pop er4,rt
16d7c	pop er8,rt
17072	pop qr0,rt
14c50	pop qr8,rt
15fc0	pop r4
16210	pop r4,rt
14c98	pop r9
10e5a	pop xr12,rt
1d972	pop xr4,rt
0e5e2	pop xr8,rt
093b8   pop er2,pop er8,er0=er2,rt
1893a   pop er0,pop er4
16754   pop er4,pop er8
201f6   pop er4,pop er12,pop r9
2045c	pop xr4,pop xr12



# Some ADD gadgets:
14bd8	er0+=er4,rt
13b80	er4+=er0,r8 = r8,rt
21ba8	er0+=er8,rt
21bae	er2+=er8,rt
2fa0c	er0+=er2,rt
16078	er0+=1,rt
09ce4	r0+=1,rt
2037c   r0+=r1,rt
14fcc	er0+=er6,er10=er0,rt
09e48  er2+=er0,r0=[er2]



# AND gadget:
20838   and r0,0f
1620e   and r0, r5, pop r4,rt



# Some MOV gadgets:
24008	er6 = er0,er0 = er8,pop qr8
16170	er8 = er0
0ea70	er2 = er0,er0 = er2,pop er8,rt
14bd6	er2 = er0,er0+=er4,rt
0bf30	er0 = er2,rt
2470a	er0 = er4,pop er4
2f786	er0 = er8,pop er8,rt
0e232	er0 = er8,pop er8
15386	er0 = er8
1edea	er0 = er6,pop er8,pop xr4
28c86	er2 = er0,r0 = r4,r1 = 0,pop xr4,rt
2ffc0	r0 = r5,pop er4
1abb0	r0 = r2 = 0
1abb2	r0 = r2
15fde	r2 = r0,pop er0
164e4	r2 = r0,pop r6,pop er12
177b4	r2 = 0,r7 = 4
1ca8a	r0 = 0
1DD54	r0 = 0,rt
1DD58	r0 = 1,rt
18978	r0 = 0,pop er2
2ac30	r1 = 0,rt
2245c  r1 = 0,pop er12
16df2	r5 = 0,rt
17b32	er14 = er0,pop xr0
0ac7c	er0 = er12,pop er12,rt
13916	er10 = er2,rt
20b52	er0 = er10,pop xr8
1e60c	er0 = 1,rt
180d2	er2 = 0,er4 = 0,er6 = 0,er8 = 1,rt
09caa	er2 = 0,r0 = 2,[er8]=er2,pop xr8
0a88a	er2 = 1,r0 = r2,rt
16060   r0=8
09c9e	r0 = 0,[er8]+=er2,pop xr8
27e7c	r2 = 1,r0 = r2,pop er4,pop er8,rt
27e92	r0 = r1,rt
14fce	er10=er0,rt
283fe	er2=0,er0=er2,pop er8
140e4	er0=er6,er2=er12
140e6	er2=er12
16e18	r4=0
0eda0	er0=0,rt
13ad8   er0=er10,bl num_cpy
17bfa   er2 = er14, r1 = 3


# Some ST gadgets:
16d9a	[er2]=er0,r2 = 0,pop er4,rt
139d8	[er0]=er2,rt
208b2	[er0]=r2,rt
203D2	[er0]=r2
176d4	[er2]=r0,r2 = 0
09ca4	[er8]=er2,pop xr8
13330	[er4]=er0,pop er0,rt
1c696  [ea+]=er0
1a588	[ea]=qr0
22226	[er12]=er14,pop xr4,pop qr8
1332a   [er4]+=1,rt
13336   [er4]-=1,rt
16614	[er2]=r0,r0=0

# Some L gadgets:
16d7a	er4=[er8],pop er8,rt
13b9e	er0=[er2],r2 = 9,rt
13b6a	er8=[er0],rt
09e4a	r0=[er2]
18274	r0=[er0]
298dc	er0=[er0],pop xr8,rt
09fdc	r0=[ea],rt
21f72	sp=[er8],pop er8
1c2c0	qr0=[ea],lea D002H,[ea]=qr0
#1c2c0	qr0=[ea]
1c64c   qr8=[ea]
1c64a   er6 = [ea+]
